,ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,vol,amount
261,000300.SH,20130527,2602.623,2600.632,2661.2290000000003,2585.901,2597.228,2.359,0.0908,355923190.0,368668794.74
262,000300.SH,20130520,2599.587,2607.393,2630.0679999999998,2572.884,2592.048,17.559,0.6774,355457930.0,364954736.295
263,000300.SH,20130513,2609.607,2525.998,2627.616,2479.8720000000003,2540.8360000000002,-10.068,-0.3962,338054510.0,358212379.20199996
264,000300.SH,20130506,2530.768,2519.364,2562.007,2507.756,2492.9120000000003,33.071,1.3266,277193957.0,290044173.316
265,000300.SH,20130422,2525.9829999999997,2532.201,2533.855,2423.077,2533.827,-3.157,-0.1246,401151162.0,402244292.68100005
266,000300.SH,20130415,2530.67,2419.508,2542.453,2416.617,2462.112,-25.294,-1.0273,280866243.0,286604923.56200004
267,000300.SH,20130408,2436.8179999999998,2477.29,2508.593,2430.149,2483.547,-11.248,-0.4529,229341707.0,234463696.76
268,000300.SH,20130401,2472.299,2495.843,2524.4629999999997,2429.5,2495.083,-1.896,-0.076,154545145.0,156043408.871
269,000300.SH,20130325,2493.187,2601.964,2611.939,2482.488,2618.308,-5.211,-0.19899999999999998,308196042.0,307900078.093
270,000300.SH,20130318,2613.097,2507.396,2641.6090000000004,2491.854,2539.873,-37.38,-1.4717,326698397.0,332401773.018
271,000300.SH,20130311,2502.493,2590.391,2619.512,2499.828,2606.927,-14.555,-0.5583,317156320.0,323452060.72
272,000300.SH,20130304,2592.3720000000003,2547.893,2658.969,2541.766,2668.836,-123.12100000000001,-4.6133,389949463.0,399419614.34400004
273,000300.SH,20130225,2545.715,2587.375,2680.8540000000003,2528.694,2596.604,8.356,0.3218,414115259.0,433149403.46199995
274,000300.SH,20130218,2604.96,2735.045,2740.739,2584.758,2771.725,-34.254,-1.2358,364670586.0,381230261.17200005
275,000300.SH,20130204,2737.4709999999995,2727.93,2791.303,2722.8740000000003,2743.324,4.704,0.1715,442756103.0,461574343.91200006
276,000300.SH,20130128,2748.028,2655.377,2768.5040000000004,2646.1540000000005,2571.674,80.189,3.1182,529474014.0,550841006.726
277,000300.SH,20130121,2651.863,2610.3920000000003,2663.4040000000005,2564.206,2595.439,15.459000000000001,0.5956,442545040.0,443420416.805
278,000300.SH,20130114,2610.8979999999997,2579.132,2611.201,2539.674,2483.23,94.495,3.8053,424146173.0,431430680.426
279,000300.SH,20130107,2577.725,2534.647,2583.625,2473.696,2524.409,11.575999999999999,0.4586,380947399.0,391520097.58599997
280,000300.SH,20121231,2535.985,2551.814,2558.529,2498.8920000000003,2480.049,42.903,1.7299,173156175.0,168746757.516
281,000300.SH,20121224,2522.952,2373.88,2522.952,2365.41,2372.002,9.215,0.3885,389517859.0,374813983.988
282,000300.SH,20121217,2381.217,2361.095,2414.223,2346.55,2355.865,10.835,0.4599,336534003.0,323981526.97599995
283,000300.SH,20121210,2366.7,2263.209,2380.001,2242.5570000000002,2246.757,24.289,1.0811,343398014.0,299871766.447
284,000300.SH,20121203,2271.0460000000003,2104.928,2276.28,2102.135,2139.661,-30.811,-1.44,316832930.0,269996228.847
285,000300.SH,20121126,2108.85,2168.589,2173.464,2108.149,2192.676,-17.077,-0.7788,168220383.0,137315032.729
286,000300.SH,20121119,2175.599,2180.205,2202.47,2151.38,2177.24,-2.255,-0.1036,130779938.0,120196427.59
287,000300.SH,20121112,2174.985,2250.842,2250.842,2149.538,2240.924,10.924000000000001,0.4875,146388097.0,129044939.084
288,000300.SH,20121105,2251.848,2301.98,2304.048,2232.742,2306.774,-4.894,-0.2122,173003158.0,148578795.444
289,000300.SH,20121029,2301.88,2236.3160000000003,2318.231,2231.776,2247.907,-12.052999999999999,-0.5362,201358309.0,174310155.56800002
290,000300.SH,20121022,2235.854,2340.89,2344.044,2227.646,2332.47,9.122,0.3911,187597092.0,157151501.01099998
291,000300.SH,20121015,2341.592,2293.244,2347.895,2280.8179999999998,2304.531,-9.674,-0.4198,186320206.0,175014636.92099997
292,000300.SH,20121008,2294.857,2281.7529999999997,2332.149,2278.4570000000003,2293.106,-23.052,-1.0053,202061671.0,184152081.431
