,order_time,volume,price,amount,commision,total,cash,credit,market value,lever,back
28,20120307,-48800,26.030050000000003,-1270266.4400000002,2565.9382088,-1267700.5017912001,502996.29584858404,0.0,502996.29584858404,0.0,0.09622114731091203
29,20120314,27900,26.94612,751796.748,766.83268296,752563.58068296,0.0,249567.28483437595,502229.46316562407,0.4969188451456386,0.09759898481812634
30,20120315,-27900,25.855460000000008,-721367.3340000003,1457.1620146800005,-719910.1719853203,470342.8871509443,0.0,470342.8871509443,0.0,0.15489247450101218
31,20120504,24200,27.15879000000001,657242.7180000002,670.3875723600001,657913.1055723602,0.0,181570.2184214159,475672.49957858433,0.3817126669762822,0.14531627872206765
32,20120511,-24200,26.36917,-638133.914,1289.03050628,-636844.88349372,455274.6650723041,0.0,455274.6650723041,0.0,0.18196690939187543
33,20121214,30400,23.558649999999997,716182.9599999998,730.5066191999998,716913.4666191998,0.0,240638.80154689576,475544.1584531041,0.5060282988853629,0.14554688080819966
34,20121218,30000,23.870711999999997,716121.3599999999,730.4437871999999,716851.8037871999,0.0,957490.6053340957,484300.3994659041,1.977059292930658,0.12981375211176127
35,20121225,29200,24.48395,714931.34,729.2299667999999,715660.5699667999,0.0,1673151.1753008957,520610.7446991042,3.2138237490044923,0.06457167691865695
36,20121231,28400,25.229520000000004,716518.3680000001,730.8487353600001,717249.2167353601,0.0,2390400.392036256,586682.9679637444,4.074432909366438,-0.05414625128395856
37,20130304,-118000,25.457150000000002,-3003943.7,6067.966274,-2997875.7337260004,616475.3416897445,0.0,616475.3416897445,0.0,-0.0507810441973513
38,20130529,32600,26.58969,866823.8940000001,884.1603718800001,867708.0543718801,0.0,245232.71268213564,621591.1813178645,0.39452411818682226,-0.00829853082865828
39,20130604,-32600,25.656660000000002,-836407.116,1689.5423743200001,-834717.5736256801,592484.8609435444,0.0,592484.8609435444,0.0,0.04682550404368735
40,20130909,28800,24.40609,702895.392,716.95329984,703612.34529984,0.0,102127.48435629555,600767.9076437044,0.169994906613527,0.033499950288888636
41,20130911,28300,24.82889,702657.587,716.71073874,703374.2977387401,0.0,805501.7820950357,612227.8369049645,1.3156895742721233,0.015063509094592198
42,20130912,27800,25.2611315,702259.4557,716.3046448140001,702975.760344814,0.0,1508477.5424398496,636192.5219101505,2.371102285060955,-0.023490263425760105
43,20130917,-84900,24.273220000000002,-2060796.3780000003,4162.808683560001,-2056633.5693164403,548156.0268765907,0.0,548156.0268765907,0.0,0.138380273268904
44,20140722,64900,21.96343,1425426.6069999998,1453.9351391399998,1426880.54213914,0.0,848724.5152625493,576702.0917374506,1.4716862092619905,0.09351010601960796
45,20140724,63700,22.37015,1424978.555,1453.4781260999998,1426432.0331261,0.0,2275156.5483886492,601644.7416113508,3.781561428252871,0.05430397106063267
46,20140725,63100,22.604540000000004,1426346.4740000002,1454.8734034800002,1427801.3474034802,0.0,3702957.8957921294,630332.4222078715,5.874611181861379,0.00921120494262384
47,20140728,61400,23.23897,1426872.758,1455.41021316,1428328.16821316,0.0,5131286.064005289,750497.2429947108,6.837181764359197,-0.17967001677631078
48,20140828,-253100,23.112779999999997,-5849844.617999999,11816.68612836,-5838027.931871639,709741.8678663494,0.0,709741.8678663494,0.0,0.054304496796997004
49,20140902,54400,23.8646,1298234.24,1324.1989248,1299558.4389248,0.0,586816.5710584505,711417.6689415495,0.8248552104862941,0.05207157576918209
50,20140903,53800,24.125712999999998,1297963.3594,1323.922626588,1299287.282026588,0.0,1886103.8530850385,724298.2935149611,2.604042933653659,0.0349087884389927
51,20140905,53000,24.49259,1298107.27,1324.0694154,1299431.3394154,0.0,3185535.1925004385,762670.3154995614,4.176818118866815,-0.01622000962492054
52,20140916,-161200,23.88765,-3850689.18,7778.392143600001,-3842910.7878564,657375.5953559615,0.0,657375.5953559615,0.0,0.1380605984050004
53,20140925,45700,24.61473,1124893.161,1147.3910242200002,1126040.5520242201,0.0,468664.95666825864,656228.2043317414,0.7141798441069985,0.139565037480315
54,20141023,-45700,23.959360000000004,-1094942.752,2211.7843590400003,-1092730.9676409601,627066.0109727015,0.0,627066.0109727015,0.0,0.17780199618499226
55,20141031,43500,25.08325,1091121.375,1112.9438025,1092234.3188025,0.0,465168.30782979843,625953.0671702016,0.7431360787682114,0.17926126866470182
