,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
36,000905.SH,20181102,4437.9456,4366.734,4437.9818,4360.8748,4298.9837,138.9619,3.2324,96892168.0,75808808.22399999
37,000905.SH,20181101,4298.9837,4299.4595,4367.7304,4294.8669,4272.5518,26.4319,0.6186,86059142.0,65004691.6
38,000905.SH,20181031,4272.5518,4207.7588,4298.2426,4204.3595,4204.5424,68.0094,1.6175,74687765.0,53243305.6
39,000905.SH,20181030,4204.5424,4145.3966,4233.7942,4096.136,4162.5255,42.0169,1.0094,72834650.0,52308156.5
40,000905.SH,20181029,4162.5255,4220.635,4227.6435,4144.8064,4233.9585,-71.433,-1.6871,57451570.0,41278101.4
41,000905.SH,20181026,4233.9585,4260.9102,4294.5553,4217.7896,4234.4208,-0.4623,-0.0109,67983621.0,46824099.4
42,000905.SH,20181025,4234.4208,4124.1854,4240.5841,4103.5602,4245.4884,-11.0676,-0.2607,69687206.0,48371839.3
43,000905.SH,20181024,4245.4884,4233.8377,4297.3708,4207.1648,4253.5561,-8.0677,-0.1897,62823482.0,44264708.2
44,000905.SH,20181023,4253.5561,4336.4461,4350.7285,4228.3294,4333.1445,-79.5884,-1.8367,74668065.0,54448393.8
45,000905.SH,20181022,4333.1445,4165.7571,4375.5985,4165.7571,4127.9853,205.1592,4.97,92958319.0,69510999.5
46,000905.SH,20181019,4127.9854,3958.4458,4130.9325,3948.5593,4018.4614,109.524,2.7255,69561578.0,49937027.4
47,000905.SH,20181018,4018.4614,4104.3335,4104.3335,4013.6486,4133.3832,-114.9218,-2.7803,59783911.0,40382606.9
48,000905.SH,20181017,4133.3832,4147.3455,4167.7603,4038.4243,4099.6831,33.7001,0.8220000000000001,69523881.0,47137717.3
49,000905.SH,20181016,4099.6831,4193.3791,4221.3422,4076.8707,4199.1532,-99.4701,-2.3688,61076659.0,44015881.3
50,000905.SH,20181015,4199.1532,4283.3557,4317.7101,4195.8308,4278.0352,-78.882,-1.8439,62291848.0,44849001.7
51,000905.SH,20181012,4278.0353,4267.3555,4300.0061,4136.6293,4307.4208,-29.3855,-0.6822,81525149.0,56700633.804
52,000905.SH,20181011,4307.4208,4483.2662,4503.1983,4274.6995,4629.8877,-322.4669,-6.9649,90563601.0,64480315.0
53,000905.SH,20181010,4629.8877,4634.6392,4655.5462,4586.8864,4634.8939,-5.0062,-0.108,51339637.0,39541080.1
54,000905.SH,20181009,4634.8939,4652.4876,4685.2177,4612.6352,4646.4929,-11.599,-0.2496,50437454.0,41244020.8
55,000905.SH,20181008,4646.4929,4722.4176,4737.2892,4639.4004,4800.7286,-154.2357,-3.2128,63275664.0,49494827.7
56,000905.SH,20180928,4800.7287,4762.3345,4802.1578,4746.1771,4755.3803,45.3484,0.9536,57268640.0,45938739.634
57,000905.SH,20180927,4755.3803,4812.6445,4817.6168,4754.2773,4815.6306,-60.2503,-1.2511,61437672.0,47097829.2
58,000905.SH,20180926,4815.6306,4794.0697,4841.7044,4782.3906,4792.5507,23.0799,0.4816,64719556.0,51709759.4
59,000905.SH,20180925,4792.5507,4774.7923,4810.3431,4763.2055,4805.2151,-12.6644,-0.2636,52654240.0,42641651.0
60,000905.SH,20180921,4805.2151,4743.8051,4813.2902,4721.6883,4733.4806,71.7345,1.5155,65895196.0,52507709.8
61,000905.SH,20180920,4733.4806,4734.4822,4761.4084,4723.3049,4736.8934,-3.4128,-0.07200000000000001,56398974.0,43574339.4
