,date,date_str,open,high,low,close,long_wave,short_wave,long_high,short_low,state,key_prices
87,735907.0,20151105,85.85,87.14,82.88,83.25,4.765272727272728,5.157500000000001,88.0,59.5,3,86.60690909090908
88,735908.0,20151106,83.25,86.5,82.3,85.0,4.710727272727273,5.2205,88.0,60.5,3,86.60690909090908
89,735911.0,20151109,84.0,93.5,83.8,93.5,4.657818181818182,5.2065,88.0,63.75,4,91.19036363636363
90,735912.0,20151110,92.0,95.8,89.88,93.2,4.7272727272727275,5.364000000000001,93.5,65.0,4,91.19036363636363
91,735913.0,20151111,92.06,98.4,91.55,95.68,4.774545454545455,5.460000000000001,95.8,65.0,4,91.19036363636363
92,735914.0,20151112,95.48,100.0,92.5,93.95,4.810363636363637,5.634500000000001,98.4,65.0,4,91.19036363636363
93,735915.0,20151113,92.0,92.0,85.6,86.1,4.834363636363637,5.830000000000002,100.0,65.0,4,91.19036363636363
94,735918.0,20151116,82.22,88.88,82.22,86.79,4.845272727272729,6.038000000000002,100.0,65.0,4,91.19036363636363
95,735919.0,20151117,88.88,88.9,84.68,87.1,4.865272727272727,6.187500000000002,100.0,65.0,4,91.19036363636363
96,735920.0,20151118,86.2,86.89,83.93,83.93,4.873818181818182,6.266000000000002,100.0,65.0,4,91.19036363636363
97,735921.0,20151119,83.9,87.92,83.9,87.5,4.88109090909091,6.125000000000002,100.0,65.8,4,91.19036363636363
98,735922.0,20151120,87.62,88.0,84.0,86.0,4.845272727272729,6.091000000000001,100.0,67.59,4,91.19036363636363
99,735925.0,20151123,85.22,87.48,84.66,85.92,4.766181818181819,5.941000000000001,100.0,67.59,4,91.19036363636363
100,735926.0,20151124,85.32,91.58,84.08,90.1,4.714545454545456,5.912500000000001,100.0,69.36,4,91.19036363636363
101,735927.0,20151125,89.55,89.58,86.7,88.88,4.772727272727273,5.966000000000001,100.0,72.77,4,91.19036363636363
102,735928.0,20151126,88.9,91.8,88.2,88.88,4.716181818181819,5.770000000000001,100.0,73.03,4,91.19036363636363
103,735929.0,20151127,88.6,91.0,82.0,83.5,4.6507272727272735,5.781000000000001,100.0,73.03,4,91.19036363636363
104,735932.0,20151130,82.0,84.9,77.51,83.98,4.690727272727273,5.782500000000001,100.0,76.2,4,91.19036363636363
105,735933.0,20151201,82.82,84.34,81.98,82.5,4.770181818181819,5.5920000000000005,100.0,77.51,4,91.19036363636363
106,735934.0,20151202,82.03,82.28,77.48,80.0,4.728545454545455,5.37,100.0,77.51,0,77.51
107,735935.0,20151203,81.0,82.82,80.01,81.9,4.761818181818183,5.352,100.0,77.48,0,77.51
108,735936.0,20151204,82.42,84.03,81.51,81.98,4.7780000000000005,5.2795,100.0,77.48,0,77.51
109,735939.0,20151207,82.58,82.66,79.0,79.8,4.744909090909092,5.195499999999999,100.0,77.48,0,77.51
110,735940.0,20151208,80.79,82.1,79.0,80.3,4.668363636363636,4.893499999999999,100.0,77.48,0,77.51
111,735941.0,20151209,79.67,80.49,77.52,79.95,4.6507272727272735,4.752499999999999,100.0,77.48,0,77.51
112,735942.0,20151210,79.0,80.51,78.95,79.08,4.600181818181818,4.558499999999998,100.0,77.48,0,77.51
113,735943.0,20151211,78.2,82.53,78.2,82.4,4.556909090909091,4.261499999999998,100.0,77.48,0,77.51
114,735946.0,20151214,81.5,83.99,80.67,82.94,4.575454545454545,4.157999999999998,100.0,77.48,0,77.51
115,735947.0,20151215,82.98,84.9,81.7,82.39,4.556363636363637,3.9909999999999974,100.0,77.48,0,77.51
116,735948.0,20151216,83.0,83.95,82.05,82.19,4.574181818181818,3.9399999999999977,100.0,77.48,0,77.51
117,735949.0,20151217,82.25,84.6,82.0,83.98,4.557818181818182,3.8869999999999982,100.0,77.48,0,77.51
118,735950.0,20151218,83.51,84.19,82.1,82.52,4.567818181818182,3.815999999999998,100.0,77.48,0,77.51
119,735953.0,20151221,82.41,83.2,81.8,82.99,4.520363636363636,3.7204999999999986,100.0,77.48,0,77.51
120,735954.0,20151222,82.6,83.35,82.01,83.2,4.513090909090909,3.6494999999999984,100.0,77.48,0,77.51
121,735955.0,20151223,83.19,89.98,82.88,87.0,4.511818181818182,3.3414999999999977,100.0,77.48,0,77.51
122,735956.0,20151224,86.1,88.0,86.0,87.61,4.619818181818181,3.5524999999999984,100.0,77.48,0,77.51
123,735957.0,20151225,87.88,91.57,86.2,86.8,4.601636363636364,3.472499999999999,100.0,77.48,0,77.51
124,735960.0,20151228,86.8,88.34,80.0,82.97,4.617818181818181,3.290999999999998,100.0,77.48,0,77.51
125,735961.0,20151229,82.5,83.88,80.4,83.15,4.650363636363636,3.3384999999999985,100.0,77.48,0,77.51
126,735962.0,20151230,82.18,83.15,81.67,82.09,4.64090909090909,3.394499999999998,100.0,77.48,0,77.51
127,735963.0,20151231,82.18,82.9,80.2,82.2,4.606727272727272,3.228499999999998,100.0,77.52,0,77.51
128,735967.0,20160104,81.8,81.8,74.0,74.01,4.590545454545454,3.222999999999999,100.0,77.52,0,77.51
129,735968.0,20160105,67.01,73.89,67.01,72.0,4.691636363636363,3.486999999999999,100.0,74.0,0,77.51
130,735969.0,20160106,71.98,74.2,71.05,73.2,4.75,3.647999999999999,100.0,67.01,0,77.51
131,735970.0,20160107,72.0,72.0,65.92,65.94,4.759090909090909,3.6504999999999996,100.0,67.01,0,77.51
132,735971.0,20160108,68.29,68.92,62.22,67.05,4.764545454545454,3.8059999999999996,100.0,65.92,0,77.51
133,735974.0,20160111,65.69,68.4,64.21,64.41,4.80090909090909,4.063,100.0,62.22,0,77.51
134,735975.0,20160112,64.54,66.12,63.13,64.87,4.749818181818182,4.056,100.0,62.22,0,77.51
135,735976.0,20160113,64.5,66.0,63.5,64.0,4.742545454545455,4.039500000000001,100.0,62.22,0,77.51
136,735977.0,20160114,61.5,67.58,61.5,67.03,4.671090909090909,4.0045,100.0,62.22,0,77.51
137,735978.0,20160115,67.03,67.5,63.58,63.94,4.658,4.213500000000001,100.0,61.5,0,77.51
138,735981.0,20160118,63.6,67.37,63.0,66.23,4.667818181818181,4.2795000000000005,100.0,61.5,0,77.51
139,735982.0,20160119,66.23,67.88,65.48,67.79,4.584181818181818,4.3935,100.0,61.5,0,77.51
140,735983.0,20160120,67.5,68.5,67.01,67.3,4.424181818181818,4.443499999999999,100.0,61.5,0,77.51
141,735984.0,20160121,67.25,67.4,63.8,64.0,4.327636363636364,4.4510000000000005,100.0,61.5,0,77.51
142,735985.0,20160122,64.98,65.4,62.8,64.3,4.299272727272727,4.276000000000001,100.0,61.5,0,77.51
143,735988.0,20160125,64.64,65.18,63.11,63.75,4.2690909090909095,4.306,100.0,61.5,0,77.51
144,735989.0,20160126,63.5,65.13,59.8,60.3,4.230363636363637,4.141000000000001,100.0,61.5,0,77.51
145,735990.0,20160127,61.3,62.85,58.0,62.18,4.150909090909091,3.9905000000000017,100.0,59.8,0,77.51
146,735991.0,20160128,61.03,63.18,60.08,60.1,4.131454545454545,4.059000000000002,100.0,58.0,0,77.51
147,735992.0,20160129,60.1,63.0,60.1,62.67,4.063272727272727,4.140000000000002,100.0,58.0,0,77.51
148,735995.0,20160201,62.6,62.97,60.5,61.4,3.9796363636363634,4.150000000000001,92.0,58.0,0,77.51
149,735996.0,20160202,61.42,63.99,61.42,63.3,3.9081818181818178,3.8835000000000006,91.8,58.0,0,77.51
150,735997.0,20160203,62.5,63.0,61.5,62.55,3.833818181818181,3.6680000000000015,91.8,58.0,0,77.51
151,735998.0,20160204,62.5,63.97,62.5,63.33,3.784363636363636,3.585500000000002,91.8,58.0,0,77.51
152,735999.0,20160205,63.38,63.72,62.88,62.88,3.757272727272727,3.3550000000000013,91.8,58.0,0,77.51
153,736009.0,20160215,61.01,64.9,60.6,64.37,3.699454545454545,3.062000000000001,91.8,58.0,0,77.51
154,736010.0,20160216,64.1,67.58,64.1,67.55,3.7049090909090907,3.067500000000001,91.8,58.0,0,77.51
155,736011.0,20160217,67.48,67.48,66.03,66.98,3.7169090909090907,3.092000000000001,91.8,58.0,0,77.51
156,736012.0,20160218,67.89,68.47,66.3,66.8,3.606909090909091,3.039500000000001,91.8,58.0,0,77.51
157,736013.0,20160219,66.76,67.0,65.51,66.0,3.5940000000000003,2.844000000000001,91.8,58.0,0,77.51
158,736016.0,20160222,66.78,67.45,66.13,66.95,3.5556363636363635,2.722500000000001,91.57,58.0,0,77.51
159,736017.0,20160223,68.03,69.89,67.0,67.99,3.416,2.570000000000001,91.57,58.0,0,77.51
160,736018.0,20160224,67.2,67.8,64.8,66.4,3.334181818181818,2.5945000000000014,91.57,58.0,0,77.51
161,736019.0,20160225,66.3,66.85,59.77,60.2,3.345818181818182,2.6700000000000017,91.57,58.0,0,77.51
162,736020.0,20160226,60.6,61.83,59.0,59.96,3.3872727272727277,2.8440000000000007,91.57,58.0,0,77.51
163,736023.0,20160229,59.96,60.35,57.28,58.08,3.3876363636363633,2.8555,91.57,58.0,0,77.51
164,736024.0,20160301,58.18,60.63,58.15,59.97,3.3976363636363636,2.9055,91.57,57.28,0,77.51
165,736025.0,20160302,60.5,62.5,60.01,62.1,3.3761818181818186,2.7630000000000003,91.57,57.28,0,77.51
